mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
1.0,1.0,0.72,0.76,7,3054,0.24,3054_7
0.32,0.38,0.58,0.3,7,3055,0.7,3055_7
0.73,0.79,0.81,0.73,7,3056,0.27,3056_7
0.18,0.18,0.72,0.17,7,3057,0.83,3057_7
0.58,0.58,0.54,0.52,7,3058,0.48,3058_7
0.83,0.9,0.89,0.22,7,3059,0.78,3059_7
0.93,0.93,1.0,0.93,7,3060,0.06999999999999995,3060_7
0.75,0.88,0.86,0.7,7,3061,0.30000000000000004,3061_7
0.91,0.67,0.69,0.7,7,3062,0.30000000000000004,3062_7
0.62,0.72,0.73,0.55,7,3063,0.44999999999999996,3063_7
0.57,0.66,0.72,0.59,7,3064,0.41000000000000003,3064_7
0.65,0.89,0.8,0.42,7,3065,0.5800000000000001,3065_7
0.83,0.38,0.74,0.72,7,3066,0.28,3066_7
0.66,0.57,0.59,0.44,7,3067,0.56,3067_7
0.66,0.6,0.7,0.71,7,3068,0.29000000000000004,3068_7
0.71,0.62,0.68,0.39,7,3069,0.61,3069_7
0.64,0.49,0.48,0.45,7,3070,0.55,3070_7
0.88,1.0,0.92,0.96,7,3071,0.040000000000000036,3071_7
0.56,0.53,0.54,0.46,7,3072,0.54,3072_7
0.53,0.3,0.63,0.36,7,3073,0.64,3073_7
0.18,0.3,0.6,0.27,7,3074,0.73,3074_7
0.85,0.88,0.63,0.84,7,3075,0.16000000000000003,3075_7
0.97,0.41,0.94,0.97,7,3076,0.030000000000000027,3076_7
0.35,0.44,0.72,0.19,7,3077,0.81,3077_7
0.24,0.64,0.56,0.47,7,3078,0.53,3078_7
0.73,,0.88,0.8,8,3051,0.19999999999999996,3051_8
0.13,,0.31,0.13,8,3053,0.87,3053_8
0.95,,0.82,0.79,8,3054,0.20999999999999996,3054_8
0.95,,0.75,0.71,8,3055,0.29000000000000004,3055_8
0.79,,0.77,0.82,8,3056,0.18000000000000005,3056_8
0.26,,0.51,0.25,8,3057,0.75,3057_8
0.59,,0.94,0.59,8,3058,0.41000000000000003,3058_8
0.75,,0.89,0.23,8,3059,0.77,3059_8
0.91,,0.69,0.91,8,3060,0.08999999999999997,3060_8
0.84,,0.79,0.85,8,3061,0.15000000000000002,3061_8
0.87,,0.86,0.84,8,3062,0.16000000000000003,3062_8
0.59,,0.66,0.53,8,3063,0.47,3063_8
0.65,,0.91,0.7,8,3064,0.30000000000000004,3064_8
0.65,,0.78,0.55,8,3065,0.44999999999999996,3065_8
1.0,,0.41,1.0,8,3066,0.0,3066_8
0.57,,0.54,0.56,8,3067,0.43999999999999995,3067_8
0.68,,0.74,0.7,8,3068,0.30000000000000004,3068_8
0.85,,0.7,0.62,8,3069,0.38,3069_8
0.65,,0.6,0.57,8,3070,0.43000000000000005,3070_8
0.92,,1.0,0.94,8,3071,0.06000000000000005,3071_8
0.6,,0.61,0.49,8,3072,0.51,3072_8
0.49,,0.49,0.37,8,3073,0.63,3073_8
0.33,,0.37,0.31,8,3074,0.69,3074_8
0.6,,0.93,0.36,8,3075,0.64,3075_8
0.98,,1.0,0.98,8,3076,0.020000000000000018,3076_8
0.02,,0.45,0.01,8,3077,0.99,3077_8
0.87,,0.89,0.83,8,3078,0.17000000000000004,3078_8
0.84,0.71,0.79,0.87,9,3051,0.13,3051_9
0.59,0.53,0.83,0.42,9,3053,0.5800000000000001,3053_9
0.52,0.6,0.69,0.35,9,3054,0.65,3054_9
0.74,0.63,0.66,0.06,9,3055,0.94,3055_9
0.84,0.8,0.82,0.81,9,3056,0.18999999999999995,3056_9
0.65,0.66,0.65,0.48,9,3057,0.52,3057_9
0.59,0.62,0.57,0.32,9,3058,0.6799999999999999,3058_9
0.86,0.72,0.77,0.15,9,3059,0.85,3059_9
0.73,0.73,0.6,0.4,9,3060,0.6,3060_9
0.56,0.89,0.68,0.69,9,3061,0.31000000000000005,3061_9
0.82,0.73,0.8,0.82,9,3062,0.18000000000000005,3062_9
0.56,0.61,0.66,0.57,9,3063,0.43000000000000005,3063_9
0.69,0.68,0.66,0.62,9,3064,0.38,3064_9
0.68,0.87,0.64,0.58,9,3065,0.42000000000000004,3065_9
0.36,1.0,0.4,0.73,9,3066,0.27,3066_9
0.67,0.68,0.56,0.56,9,3067,0.43999999999999995,3067_9
0.75,0.65,0.75,0.74,9,3068,0.26,3068_9
0.62,0.31,0.39,0.47,9,3069,0.53,3069_9
0.55,0.45,0.47,0.54,9,3070,0.45999999999999996,3070_9
0.69,0.81,0.87,0.84,9,3071,0.16000000000000003,3071_9
0.4,0.35,0.43,0.34,9,3072,0.6599999999999999,3072_9
0.63,0.29,0.56,0.39,9,3073,0.61,3073_9
0.75,0.69,0.3,0.12,9,3074,0.88,3074_9
0.42,0.48,0.39,0.46,9,3075,0.54,3075_9
0.98,0.75,0.98,0.92,9,3076,0.07999999999999996,3076_9
0.36,0.44,0.47,0.27,9,3077,0.73,3077_9
0.3,0.37,0.43,0.45,9,3078,0.55,3078_9
0.95,,1.0,1.0,10,3051,0.0,3051_10
0.9,,0.85,0.94,10,3053,0.06000000000000005,3053_10
0.91,,0.91,0.42,10,3054,0.5800000000000001,3054_10
0.82,,0.24,0.88,10,3055,0.12,3055_10
0.26,,0.77,0.17,10,3056,0.83,3056_10
0.4,,0.76,0.37,10,3057,0.63,3057_10
0.47,,0.53,0.42,10,3058,0.5800000000000001,3058_10
0.71,,0.86,0.08,10,3059,0.92,3059_10
0.9,,0.74,0.41,10,3060,0.5900000000000001,3060_10
0.76,,0.82,0.78,10,3061,0.21999999999999997,3061_10
0.77,,0.79,0.75,10,3062,0.25,3062_10
0.59,,0.72,0.58,10,3063,0.42000000000000004,3063_10
0.6,,0.64,0.61,10,3064,0.39,3064_10
0.42,,0.57,0.41,10,3065,0.5900000000000001,3065_10
0.0,,0.0,0.32,10,3066,0.6799999999999999,3066_10
0.55,,0.55,0.39,10,3067,0.61,3067_10
0.65,,0.68,0.69,10,3068,0.31000000000000005,3068_10
0.41,,0.58,0.37,10,3069,0.63,3069_10
0.66,,0.72,0.67,10,3070,0.32999999999999996,3070_10
0.89,,1.0,0.96,10,3071,0.040000000000000036,3071_10
0.78,,0.78,0.57,10,3072,0.43000000000000005,3072_10
0.56,,0.51,0.22,10,3073,0.78,3073_10
0.66,,0.67,0.25,10,3074,0.75,3074_10
0.58,,0.57,0.39,10,3075,0.61,3075_10
0.9,,0.98,0.87,10,3076,0.13,3076_10
0.37,,0.64,0.13,10,3077,0.87,3077_10
0.73,,0.83,0.67,10,3078,0.32999999999999996,3078_10
0.85,0.9,0.88,1.0,11,3051,0.0,3051_11
0.88,0.88,0.78,0.73,11,3053,0.27,3053_11
0.79,0.76,0.75,0.23,11,3054,0.77,3054_11
0.35,0.66,0.26,0.31,11,3055,0.69,3055_11
0.87,0.89,0.96,0.4,11,3056,0.6,3056_11
0.7,0.24,0.7,0.5,11,3057,0.5,3057_11
0.58,0.75,0.68,0.56,11,3058,0.43999999999999995,3058_11
0.88,0.82,0.88,0.13,11,3059,0.87,3059_11
0.37,0.94,0.38,0.18,11,3060,0.8200000000000001,3060_11
0.74,0.78,0.76,0.63,11,3061,0.37,3061_11
0.69,0.64,0.76,0.76,11,3062,0.24,3062_11
0.6,0.62,0.71,0.58,11,3063,0.42000000000000004,3063_11
0.67,0.65,0.63,0.57,11,3064,0.43000000000000005,3064_11
0.4,0.65,0.82,0.45,11,3065,0.55,3065_11
0.41,0.77,1.0,0.39,11,3066,0.61,3066_11
0.57,0.56,0.53,0.44,11,3067,0.56,3067_11
0.55,0.78,0.56,0.59,11,3068,0.41000000000000003,3068_11
