mood,sleep,food,stress,sessionID_x,userID,real_stress,user_sessionID,participantID,sessionID_y,Dsubj_perf_oo,Ssubj_perf_oo,subj_perf_no,subj_RT_no,Dsubj_RT_oo,Ssubj_RT_oo,OKubj_RT_no,OKDsubj_RT_oo,OKSsubj_RT_oo,NOKubj_RT_no,NOKDsubj_RT_oo,NOKSsubj_RT_oo,medianRT,Dsubj_optout_oo,Ssubj_optout_oo,HRopt_,SO_HRopt,SO_HRopt_,DHL_oo,DHR_oo,Dsigma_oo,SHL_oo,SHR_oo,Ssigma_oo,no_bias,no_sigma,HmiddleDO,HmiddleSO,risk_av,DoverConf,SoverConf,real_OK_NO_RT,real_OK_DO_RT,real_OK_SO_RT,real_NOK_NO_RT,real_DO_RT,real_SO_RT
0.85,0.9,0.88,1.0,11,3051,0.0,3051_11,3051,11,61.83473389355742,79.64285714285714,71.25,0.9228144147961543,1.12732241834664,1.126394364446042,0.9080093974608624,0.8975011966035472,0.9077499808180349,1.0810951036045269,0.8170893452824702,1.1413893770711436,684.2274999999208,17.5,48.75,0.13136829988275986,,0.26334774657026544,-0.003791480884318155,0.1026216385666976,0.17030974112070627,-0.11554021565061434,0.1434290391612022,0.1863162629327721,0.006981638853089153,0.15980186020035705,0.04941507884118972,0.013944411755293928,-0.17808123249299718,0.4234690484020329,0.34076396965306205,621.2850000010803,614.0949999989825,621.1075000001001,739.7150000014808,771.3449999991864,770.709999998915
0.9,,0.92,0.92,12,3051,0.07999999999999996,3051_12,3051,12,75.43859649122808,74.11858974358975,71.25,0.9926301243683494,1.0817720551779104,1.1997043480172531,1.0070806508671624,0.9719416265853006,0.8989462934621766,0.9473718038015448,0.8709414801927055,0.9459649573862029,700.1474999979109,15.0,46.25,0.07949754782666113,,0.19100577673155325,-0.0004245116621533614,0.04448885027707686,0.10752043173491364,-0.05620371855304362,0.15610751638026302,0.14417096973586918,0.037393051616921275,0.14499816812453,0.022032169307461748,0.049951898913609696,0.01320006747638331,0.5594752422778305,0.28553560765805563,705.1050000009127,680.5024999976013,629.3949999999313,663.300000000163,757.4000000004162,839.9700000009035
1.0,1.0,1.0,1.0,13,3051,0.0,3051_13,3051,13,67.70295837633299,69.12393162393163,72.5,0.9976119854175647,1.6009257335031895,1.1844476771637926,0.9704936615610904,0.9291039277575546,0.9604466191846646,1.1309100527104976,1.0687952239718612,1.0141127127737821,661.637499999415,10.0,26.25,0.05021288531138227,,0.14968859565186138,-0.004386016784163217,0.06616273210137913,0.12175865170139467,-0.018695011994018327,0.10251833804685259,0.14217174475535063,0.05406440010485854,0.1355819151499721,0.030888357658607955,0.041911663026417134,-0.014209732475986385,0.17474546396236904,0.42360401328398056,642.1150000005582,614.7300000011455,635.4675000002317,748.2524999995803,1059.23249999978,783.674999998766
0.91,,0.96,0.96,14,3051,0.040000000000000036,3051_14,3051,14,56.2983746130031,60.078671328671334,73.75,0.9846277863127901,1.5774288517717328,1.1392611803963513,0.9476587691819353,0.9257044721234511,0.9012897799167109,1.0802116921052147,1.0171526706474254,1.0087375578551232,713.3000000030734,15.0,36.25,0.08701155293802024,,0.1750572155130318,-0.010490241195545542,0.10961491605649544,0.19792238796284758,-0.010850082007443838,0.19553788096549407,0.19919715110296102,0.005283969803879691,0.12602785209160072,0.049562337430474945,0.09234389947902512,-0.037802967156682354,0.18331440865484017,0.2582674748626213,675.965000060387,660.3049999685027,642.8900000173599,770.5149999819696,1125.179999973625,812.6349999802187
0.96,0.96,1.0,0.97,15,3051,0.030000000000000027,3051_15,3051,15,58.7938596491228,75.0,62.5,1.0223899189378238,1.456142694665423,1.1530862414497915,0.9953602570870276,0.8888086512240361,0.9484826054757572,1.0699138849251657,0.9903811088404313,0.93687061075172,692.3874999993131,17.5,37.5,0.09953649521160816,,0.30689642681709245,-0.0017604799060596948,0.15598853060983012,0.1902038765809161,-0.05414486700565547,0.14468277350971617,0.19261668651587147,0.1178324554388309,0.20553041705117633,0.07711402535188522,0.045268953252030356,-0.162061403508772,0.1158111882074747,0.5106506863983203,689.1750000031607,615.3999999987718,656.7174999981944,740.7949999978883,1008.2150000016554,798.3825000010255
0.96,,0.95,0.99,16,3051,0.010000000000000009,3051_16,3051,16,76.9607843137255,82.80303030303031,71.25,1.1027510407294032,1.187851956269776,1.1673825099328718,1.0584054683100954,0.8541882337418607,0.9166464762190523,1.2258320301349845,0.917857903278911,0.9135628436977062,681.0149999982968,11.25,38.75,0.047458241940023044,,0.12616002777340815,-0.001720038538099956,0.06344486989805395,0.13750985805507632,-0.028362456960157694,0.10724813317608059,0.09642016074831253,0.03504238616331879,0.11768679218600658,0.030862415679977,0.039442838107961446,-0.058422459893048145,0.1858528028362317,0.3008513679167577,720.789999999397,581.7150000002584,624.2500000007567,834.8100000002887,808.9449999970384,795.0049999999464
0.94,0.96,0.97,0.97,17,3051,0.030000000000000027,3051_17,3051,17,73.46813725490196,82.440812863607,75.0,1.0166680158062265,1.1541073964758353,1.390546696198998,1.029553532654933,0.9255642472885958,0.9420519688873225,0.9882146457763141,0.9130393188548883,1.0571275084755318,679.4450000015786,22.5,25.0,0.04929306896086923,,0.12257050591065172,-0.010003227992405044,0.0806878895399869,0.12881988157349233,-0.04086352182532282,0.05831086257116717,0.12558155708828178,0.02752138334340913,0.11258692980951182,0.035342330773790925,0.008723670372922175,-0.08972675608705032,0.041711405685823606,0.4239329086884156,699.5249999963562,628.870000000461,640.0725000021339,671.4375000010477,784.1525000003458,944.8000000011233
1.0,,1.0,0.86,18,3051,0.14,3051_18,3051,18,70.7107843137255,83.19444444444444,66.25,1.0119973297851892,1.3324904994727842,1.1428752568575926,0.9912099141166044,0.895410284813913,0.9448018408071053,1.2278597614020486,0.8875935601524634,1.0680047586560086,670.357499999227,13.75,38.75,0.13106113145246798,,0.2307318879780831,-0.05163608219579919,0.014668272609215225,0.11947247524580683,-0.1039628569538106,0.06546018477022872,0.13435872175163302,-0.02657938520204969,0.1357394707488336,-0.018483904793291983,-0.019251336091790944,-0.12483660130718946,0.596230322211149,0.462905113956845,664.4650000016554,600.2450000014505,633.3549999981187,823.1050000031246,893.244999999297,766.1349999980303
0.92,0.83,0.87,0.87,19,3051,0.13,3051_19,3051,19,72.38562091503269,81.19047619047619,66.25,1.0304319207903296,1.0769115195610857,1.0675676642462704,0.9837162215338833,0.9078421131692477,0.9496247433350856,1.1107311244831113,1.1306637285297416,0.9720685979236809,698.8549999987299,13.75,30.0,0.09638340770743414,,0.1977080323501865,-0.04300967465157703,0.03259389365760384,0.18281401689001242,-0.0714400198914948,0.0663513451504443,0.15446507604648405,0.009832036921224347,0.1370685808529941,-0.0052078904969865975,-0.00254433737052525,-0.088048552754435,0.4365729387865693,0.4831603711578783,687.4749999988126,634.4499999977415,663.6500000022352,776.239999999234,752.6050000014948,746.0749999954713
0.92,,1.0,0.97,20,3051,0.030000000000000027,3051_20,3051,20,70.63602515905147,75.3434065934066,60.0,1.0021112872338747,1.1556208779871044,1.0187470087262072,0.8852573088888779,0.8716934763853603,0.9934896319592466,1.1340395849369542,0.949933300966819,0.9403171004009963,736.5175000013551,22.5,45.0,0.12624683942796353,,0.4156872972219048,0.041958944538112726,0.16670399517025927,0.16185674418562715,-0.046289179101653276,0.19999266859186704,0.1789913160999429,0.17716456748816245,0.24596200451712197,0.104331469854186,0.07685174474510688,-0.047073814343551276,0.33864133833008064,0.5429306816835496,652.0075000007637,642.0174999948358,731.7225000078906,835.2400000003399,851.1350000044331,750.3250000008848
