perf,type,difficulty,sessionID_x,userID
53.333333333333336,SO,3,1,993
75.0,NO,1,2,993
55.0,NO,2,2,993
35.0,NO,3,2,993
87.5,DO,1,2,993
42.10526315789474,DO,2,2,993
52.94117647058823,DO,3,2,993
58.8235294117647,SO,1,2,993
33.333333333333336,SO,2,2,993
46.666666666666664,SO,3,2,993
90.0,NO,1,3,993
55.0,NO,2,3,993
75.0,NO,3,3,993
100.0,DO,1,3,993
41.666666666666664,DO,2,3,993
61.111111111111114,DO,3,3,993
86.66666666666667,SO,1,3,993
63.63636363636363,SO,2,3,993
81.81818181818181,SO,3,3,993
85.0,NO,1,4,993
50.0,NO,2,4,993
35.0,NO,3,4,993
88.23529411764706,DO,1,4,993
56.25,DO,2,4,993
29.41176470588235,DO,3,4,993
93.75,SO,1,4,993
66.66666666666667,SO,2,4,993
50.0,SO,3,4,993
85.0,NO,1,5,993
50.0,NO,2,5,993
40.0,NO,3,5,993
100.0,DO,1,5,993
42.10526315789474,DO,2,5,993
27.77777777777778,DO,3,5,993
93.33333333333333,SO,1,5,993
55.55555555555556,SO,2,5,993
38.888888888888886,SO,3,5,993
70.0,NO,1,6,993
50.0,NO,2,6,993
60.0,NO,3,6,993
93.75,DO,1,6,993
60.0,DO,2,6,993
53.333333333333336,DO,3,6,993
93.75,SO,1,6,993
46.15384615384615,SO,2,6,993
30.76923076923077,SO,3,6,993
90.0,NO,1,7,993
75.0,NO,2,7,993
30.0,NO,3,7,993
100.0,DO,1,7,993
68.42105263157895,DO,2,7,993
44.44444444444444,DO,3,7,993
81.25,SO,1,7,993
86.66666666666667,SO,2,7,993
45.45454545454545,SO,3,7,993
90.0,NO,1,8,993
60.0,NO,2,8,993
65.0,NO,3,8,993
93.33333333333333,DO,1,8,993
73.6842105263158,DO,2,8,993
31.25,DO,3,8,993
93.75,SO,1,8,993
46.666666666666664,SO,2,8,993
62.5,SO,3,8,993
85.0,NO,1,9,993
50.0,NO,2,9,993
45.0,NO,3,9,993
95.0,DO,1,9,993
58.8235294117647,DO,2,9,993
22.22222222222222,DO,3,9,993
88.88888888888889,SO,1,9,993
40.0,SO,2,9,993
37.5,SO,3,9,993
95.0,NO,1,10,993
65.0,NO,2,10,993
50.0,NO,3,10,993
100.0,DO,1,10,993
72.22222222222223,DO,2,10,993
47.05882352941177,DO,3,10,993
88.23529411764706,SO,1,10,993
57.142857142857146,SO,2,10,993
43.75,SO,3,10,993
95.0,NO,1,11,993
50.0,NO,2,11,993
50.0,NO,3,11,993
94.73684210526316,DO,1,11,993
47.05882352941177,DO,2,11,993
35.0,DO,3,11,993
100.0,SO,1,11,993
69.23076923076923,SO,2,11,993
15.384615384615385,SO,3,11,993
75.0,NO,1,12,993
30.0,NO,2,12,993
50.0,NO,3,12,993
100.0,DO,1,12,993
46.666666666666664,DO,2,12,993
36.8421052631579,DO,3,12,993
64.70588235294117,SO,1,12,993
50.0,SO,2,12,993
47.05882352941177,SO,3,12,993
80.0,NO,1,13,993
50.0,NO,2,13,993
55.0,NO,3,13,993
86.66666666666667,DO,1,13,993
55.55555555555556,DO,2,13,993
70.0,DO,3,13,993
72.22222222222223,SO,1,13,993
37.5,SO,2,13,993
46.15384615384615,SO,3,13,993
90.0,NO,1,14,993
40.0,NO,2,14,993
55.0,NO,3,14,993
93.75,DO,1,14,993
75.0,DO,2,14,993
72.72727272727273,DO,3,14,993
89.47368421052632,SO,1,14,993
80.0,SO,2,14,993
87.5,SO,3,14,993
90.0,NO,1,15,993
70.0,NO,2,15,993
60.0,NO,3,15,993
100.0,DO,1,15,993
100.0,DO,2,15,993
46.15384615384615,DO,3,15,993
94.44444444444444,SO,1,15,993
85.71428571428571,SO,2,15,993
46.15384615384615,SO,3,15,993
95.0,NO,1,16,993
70.0,NO,2,16,993
40.0,NO,3,16,993
100.0,DO,1,16,993
64.70588235294117,DO,2,16,993
57.142857142857146,DO,3,16,993
85.71428571428571,SO,1,16,993
73.33333333333333,SO,2,16,993
33.333333333333336,SO,3,16,993
100.0,NO,1,17,993
55.0,NO,2,17,993
45.0,NO,3,17,993
94.73684210526316,DO,1,17,993
20.0,DO,2,17,993
60.0,DO,3,17,993
89.47368421052632,SO,1,17,993
58.333333333333336,SO,2,17,993
50.0,SO,3,17,993
80.0,NO,1,18,993
40.0,NO,2,18,993
30.0,NO,3,18,993
83.33333333333333,DO,1,18,993
16.666666666666668,DO,2,18,993
27.272727272727273,DO,3,18,993
93.75,SO,1,18,993
58.8235294117647,SO,2,18,993
22.22222222222222,SO,3,18,993
100.0,NO,1,19,993
90.0,NO,2,19,993
55.0,NO,3,19,993
100.0,DO,1,19,993
95.0,DO,2,19,993
38.46153846153846,DO,3,19,993
100.0,SO,1,19,993
100.0,SO,2,19,993
38.46153846153846,SO,3,19,993
95.0,NO,1,20,993
85.0,NO,2,20,993
55.0,NO,3,20,993
100.0,DO,1,20,993
100.0,DO,2,20,993
38.46153846153846,DO,3,20,993
100.0,SO,1,20,993
100.0,SO,2,20,993
60.0,SO,3,20,993
90.0,NO,1,1,994
90.0,NO,2,1,994
45.0,NO,3,1,994
94.44444444444444,DO,1,1,994
100.0,DO,2,1,994
71.42857142857143,DO,3,1,994
100.0,SO,1,1,994
100.0,SO,2,1,994
57.142857142857146,SO,3,1,994
75.0,NO,1,2,994
70.0,NO,2,2,994
75.0,NO,3,2,994
85.71428571428571,DO,1,2,994
66.66666666666667,DO,2,2,994
87.5,DO,3,2,994
100.0,SO,1,2,994
27.272727272727273,SO,2,2,994
81.81818181818181,SO,3,2,994
85.0,NO,1,3,994
60.0,NO,2,3,994
65.0,NO,3,3,994
83.33333333333333,DO,1,3,994
50.0,DO,2,3,994
75.0,DO,3,3,994
87.5,SO,1,3,994
33.333333333333336,SO,2,3,994
75.0,SO,3,3,994
95.0,NO,1,4,994
70.0,NO,2,4,994
65.0,NO,3,4,994
94.11764705882354,DO,1,4,994
66.66666666666667,DO,2,4,994
62.5,DO,3,4,994
100.0,SO,1,4,994
50.0,SO,2,4,994
62.5,SO,3,4,994
90.0,NO,1,5,994
85.0,NO,2,5,994
50.0,NO,3,5,994
100.0,DO,1,5,994
92.85714285714286,DO,2,5,994
87.5,DO,3,5,994
94.73684210526316,SO,1,5,994
100.0,SO,2,5,994
30.0,SO,3,5,994
90.0,NO,1,6,994
50.0,NO,2,6,994
35.0,NO,3,6,994
94.11764705882354,DO,1,6,994
54.54545454545455,DO,2,6,994
42.857142857142854,DO,3,6,994
88.23529411764706,SO,1,6,994
62.5,SO,2,6,994
50.0,SO,3,6,994
90.0,NO,1,7,994
45.0,NO,2,7,994
45.0,NO,3,7,994
100.0,DO,1,7,994
44.44444444444444,DO,2,7,994
57.142857142857146,DO,3,7,994
94.11764705882354,SO,1,7,994
50.0,SO,2,7,994
71.42857142857143,SO,3,7,994
95.0,NO,1,8,994
50.0,NO,2,8,994
65.0,NO,3,8,994
94.11764705882354,DO,1,8,994
80.0,DO,2,8,994
41.666666666666664,DO,3,8,994
94.11764705882354,SO,1,8,994
25.0,SO,2,8,994
75.0,SO,3,8,994
100.0,NO,1,9,994
40.0,NO,2,9,994
65.0,NO,3,9,994
100.0,DO,1,9,994
40.0,DO,2,9,994
30.0,DO,3,9,994
100.0,SO,1,9,994
75.0,SO,2,9,994
44.44444444444444,SO,3,9,994
100.0,NO,1,10,994
80.0,NO,2,10,994
65.0,NO,3,10,994
100.0,DO,1,10,994
100.0,DO,2,10,994
75.0,DO,3,10,994
100.0,SO,1,10,994
91.66666666666667,SO,2,10,994
42.857142857142854,SO,3,10,994
90.0,NO,1,11,994
45.0,NO,2,11,994
40.0,NO,3,11,994
100.0,DO,1,11,994
38.46153846153846,DO,2,11,994
50.0,DO,3,11,994
88.23529411764706,SO,1,11,994
61.53846153846154,SO,2,11,994
80.0,SO,3,11,994
100.0,NO,1,12,994
85.0,NO,2,12,994
60.0,NO,3,12,994
100.0,DO,1,12,994
100.0,DO,2,12,994
88.88888888888889,DO,3,12,994
100.0,SO,1,12,994
100.0,SO,2,12,994
66.66666666666667,SO,3,12,994
90.0,NO,1,13,994
45.0,NO,2,13,994
45.0,NO,3,13,994
100.0,DO,1,13,994
40.0,DO,2,13,994
57.142857142857146,DO,3,13,994
92.85714285714286,SO,1,13,994
26.666666666666668,SO,2,13,994
66.66666666666667,SO,3,13,994
90.0,NO,1,14,994
70.0,NO,2,14,994
50.0,NO,3,14,994
94.11764705882354,DO,1,14,994
93.75,DO,2,14,994
55.55555555555556,DO,3,14,994
100.0,SO,1,14,994
87.5,SO,2,14,994
33.333333333333336,SO,3,14,994
85.0,NO,1,15,994
45.0,NO,2,15,994
25.0,NO,3,15,994
91.66666666666667,DO,1,15,994
53.84615384615385,DO,2,15,994
23.076923076923077,DO,3,15,994
100.0,SO,1,15,994
57.142857142857146,SO,2,15,994
20.0,SO,3,15,994
100.0,NO,1,16,994
85.0,NO,2,16,994
30.0,NO,3,16,994
100.0,DO,1,16,994
94.11764705882354,DO,2,16,994
36.36363636363637,DO,3,16,994
94.44444444444444,SO,1,16,994
94.44444444444444,SO,2,16,994
28.571428571428573,SO,3,16,994
100.0,NO,1,17,994
90.0,NO,2,17,994
55.0,NO,3,17,994
100.0,DO,1,17,994
100.0,DO,2,17,994
50.0,DO,3,17,994
100.0,SO,1,17,994
92.85714285714286,SO,2,17,994
37.5,SO,3,17,994
95.0,NO,1,18,994
50.0,NO,2,18,994
75.0,NO,3,18,994
100.0,DO,1,18,994
61.53846153846154,DO,2,18,994
46.15384615384615,DO,3,18,994
100.0,SO,1,18,994
60.0,SO,2,18,994
81.81818181818181,SO,3,18,994
85.0,NO,1,19,994
55.0,NO,2,19,994
40.0,NO,3,19,994
100.0,DO,1,19,994
58.8235294117647,DO,2,19,994
30.0,DO,3,19,994
100.0,SO,1,19,994
46.15384615384615,SO,2,19,994
0.0,SO,3,19,994
95.0,NO,1,20,994
85.0,NO,2,20,994
55.0,NO,3,20,994
100.0,DO,1,20,994
93.33333333333333,DO,2,20,994
33.333333333333336,DO,3,20,994
100.0,SO,1,20,994
100.0,SO,2,20,994
75.0,SO,3,20,994
65.0,NO,1,1,995
60.0,NO,2,1,995
60.0,NO,3,1,995
75.0,DO,1,1,995
50.0,DO,2,1,995
50.0,DO,3,1,995
95.0,SO,1,1,995
55.0,SO,2,1,995
58.8235294117647,SO,3,1,995
60.0,NO,1,2,995
55.0,NO,2,2,995
70.0,NO,3,2,995
85.0,DO,1,2,995
35.0,DO,2,2,995
45.0,DO,3,2,995
85.0,SO,1,2,995
55.0,SO,2,2,995
65.0,SO,3,2,995
90.0,NO,1,3,995
80.0,NO,2,3,995
55.0,NO,3,3,995
85.0,DO,1,3,995
80.0,DO,2,3,995
45.0,DO,3,3,995
85.0,SO,1,3,995
80.0,SO,2,3,995
65.0,SO,3,3,995
75.0,NO,1,4,995
60.0,NO,2,4,995
25.0,NO,3,4,995
75.0,DO,1,4,995
45.0,DO,2,4,995
20.0,DO,3,4,995
55.55555555555556,SO,1,4,995
35.0,SO,2,4,995
60.0,SO,3,4,995
85.0,NO,1,5,995
75.0,NO,2,5,995
55.0,NO,3,5,995
95.0,DO,1,5,995
85.0,DO,2,5,995
45.0,DO,3,5,995
89.47368421052632,SO,1,5,995
65.0,SO,2,5,995
25.0,SO,3,5,995
95.0,NO,1,6,995
40.0,NO,2,6,995
40.0,NO,3,6,995
85.0,DO,1,6,995
65.0,DO,2,6,995
45.0,DO,3,6,995
100.0,SO,1,6,995
25.0,SO,2,6,995
100.0,SO,3,6,995
75.0,NO,1,7,995
40.0,NO,2,7,995
45.0,NO,3,7,995
50.0,DO,1,7,995
45.0,DO,2,7,995
45.0,DO,3,7,995
85.71428571428571,SO,1,7,995
42.857142857142854,SO,2,7,995
18.181818181818183,SO,3,7,995
70.0,NO,1,8,995
55.0,NO,2,8,995
55.0,NO,3,8,995
90.0,DO,1,8,995
80.0,DO,2,8,995
55.0,DO,3,8,995
100.0,SO,1,8,995
72.72727272727273,SO,2,8,995
60.0,SO,3,8,995
95.0,NO,1,9,995
85.0,NO,2,9,995
40.0,NO,3,9,995
90.0,DO,1,9,995
90.0,DO,2,9,995
40.0,DO,3,9,995
100.0,SO,1,9,995
100.0,SO,2,9,995
20.0,SO,3,9,995
80.0,NO,1,10,995
65.0,NO,2,10,995
45.0,NO,3,10,995
80.0,DO,1,10,995
75.0,DO,2,10,995
45.0,DO,3,10,995
100.0,SO,1,10,995
69.23076923076923,SO,2,10,995
50.0,SO,3,10,995
100.0,NO,1,11,995
30.0,NO,2,11,995
75.0,NO,3,11,995
85.0,DO,1,11,995
65.0,DO,2,11,995
75.0,DO,3,11,995
94.11764705882354,SO,1,11,995
50.0,SO,2,11,995
55.55555555555556,SO,3,11,995
85.0,NO,1,12,995
80.0,NO,2,12,995
45.0,NO,3,12,995
95.0,DO,1,12,995
85.0,DO,2,12,995
45.0,DO,3,12,995
88.23529411764706,SO,1,12,995
90.9090909090909,SO,2,12,995
55.55555555555556,SO,3,12,995
85.0,NO,1,13,995
50.0,NO,2,13,995
45.0,NO,3,13,995
80.0,DO,1,13,995
50.0,DO,2,13,995
40.0,DO,3,13,995
86.66666666666667,SO,1,13,995
45.45454545454545,SO,2,13,995
42.857142857142854,SO,3,13,995
90.0,NO,1,14,995
90.0,NO,2,14,995
30.0,NO,3,14,995
90.0,DO,1,14,995
75.0,DO,2,14,995
45.0,DO,3,14,995
94.11764705882354,SO,1,14,995
100.0,SO,2,14,995
66.66666666666667,SO,3,14,995
95.0,NO,1,15,995
80.0,NO,2,15,995
55.0,NO,3,15,995
94.73684210526316,DO,1,15,995
94.44444444444444,DO,2,15,995
60.0,DO,3,15,995
92.85714285714286,SO,1,15,995
100.0,SO,2,15,995
0.0,SO,3,15,995
95.0,NO,1,16,995
85.0,NO,2,16,995
35.0,NO,3,16,995
95.0,DO,1,16,995
95.0,DO,2,16,995
55.0,DO,3,16,995
66.66666666666667,SO,1,16,995
63.63636363636363,SO,2,16,995
60.0,SO,3,16,995
85.0,NO,1,17,995
80.0,NO,2,17,995
50.0,NO,3,17,995
95.0,DO,1,17,995
82.3529411764706,DO,2,17,995
38.888888888888886,DO,3,17,995
100.0,SO,1,17,995
100.0,SO,2,17,995
66.66666666666667,SO,3,17,995
95.0,NO,1,18,995
85.0,NO,2,18,995
40.0,NO,3,18,995
100.0,DO,1,18,995
84.61538461538461,DO,2,18,995
75.0,DO,3,18,995
100.0,SO,1,18,995
100.0,SO,2,18,995
33.333333333333336,SO,3,18,995
100.0,NO,1,19,995
50.0,NO,2,19,995
45.0,NO,3,19,995
89.47368421052632,DO,1,19,995
55.55555555555556,DO,2,19,995
72.72727272727273,DO,3,19,995
100.0,SO,1,19,995
66.66666666666667,SO,2,19,995
100.0,SO,3,19,995
95.0,NO,1,20,995
75.0,NO,2,20,995
55.0,NO,3,20,995
90.0,DO,1,20,995
72.22222222222223,DO,2,20,995
38.46153846153846,DO,3,20,995
92.85714285714286,SO,1,20,995
83.33333333333333,SO,2,20,995
58.333333333333336,SO,3,20,995
90.0,NO,1,1,996
55.0,NO,2,1,996
45.0,NO,3,1,996
90.0,DO,1,1,996
50.0,DO,2,1,996
30.0,DO,3,1,996
80.0,SO,1,1,996
57.142857142857146,SO,2,1,996
46.15384615384615,SO,3,1,996
80.0,NO,1,2,996
60.0,NO,2,2,996
55.0,NO,3,2,996
87.5,DO,1,2,996
60.0,DO,2,2,996
35.714285714285715,DO,3,2,996
84.21052631578948,SO,1,2,996
37.5,SO,2,2,996
28.571428571428573,SO,3,2,996
85.0,NO,1,3,996
50.0,NO,2,3,996
45.0,NO,3,3,996
70.58823529411765,DO,1,3,996
68.75,DO,2,3,996
50.0,DO,3,3,996
89.47368421052632,SO,1,3,996
38.46153846153846,SO,2,3,996
28.571428571428573,SO,3,3,996
80.0,NO,1,4,996
55.0,NO,2,4,996
35.0,NO,3,4,996
66.66666666666667,DO,1,4,996
71.42857142857143,DO,2,4,996
36.36363636363637,DO,3,4,996
83.33333333333333,SO,1,4,996
46.666666666666664,SO,2,4,996
73.33333333333333,SO,3,4,996
90.0,NO,1,5,996
55.0,NO,2,5,996
50.0,NO,3,5,996
94.73684210526316,DO,1,5,996
62.5,DO,2,5,996
47.36842105263158,DO,3,5,996
90.0,SO,1,5,996
61.111111111111114,SO,2,5,996
66.66666666666667,SO,3,5,996
95.0,NO,1,6,996
60.0,NO,2,6,996
20.0,NO,3,6,996
95.0,DO,1,6,996
78.94736842105263,DO,2,6,996
17.647058823529413,DO,3,6,996
95.0,SO,1,6,996
61.53846153846154,SO,2,6,996
38.46153846153846,SO,3,6,996
100.0,NO,1,7,996
35.0,NO,2,7,996
45.0,NO,3,7,996
95.0,DO,1,7,996
29.41176470588235,DO,2,7,996
42.10526315789474,DO,3,7,996
100.0,SO,1,7,996
60.0,SO,2,7,996
50.0,SO,3,7,996
95.0,NO,1,8,996
50.0,NO,2,8,996
45.0,NO,3,8,996
100.0,DO,1,8,996
36.8421052631579,DO,2,8,996
68.42105263157895,DO,3,8,996
100.0,SO,1,8,996
33.333333333333336,SO,2,8,996
22.22222222222222,SO,3,8,996
80.0,NO,1,9,996
70.0,NO,2,9,996
30.0,NO,3,9,996
94.44444444444444,DO,1,9,996
35.294117647058826,DO,2,9,996
42.10526315789474,DO,3,9,996
94.73684210526316,SO,1,9,996
75.0,SO,2,9,996
