mood,sleep,food,stress,sessionID_x,userID,real_stress,user_sessionID,participantID,sessionID_y,Dsubj_perf_oo,Ssubj_perf_oo,subj_perf_no,subj_RT_no,Dsubj_RT_oo,Ssubj_RT_oo,OKubj_RT_no,OKDsubj_RT_oo,OKSsubj_RT_oo,NOKubj_RT_no,NOKDsubj_RT_oo,NOKSsubj_RT_oo,medianRT,Dsubj_optout_oo,Ssubj_optout_oo,HRopt_,SO_HRopt,SO_HRopt_,DHL_oo,DHR_oo,Dsigma_oo,SHL_oo,SHR_oo,Ssigma_oo,no_bias,no_sigma,HmiddleDO,HmiddleSO,risk_av,DoverConf,SoverConf,userID_y,real_OK_NO_RT,real_OK_DO_RT,real_OK_SO_RT,real_NOK_NO_RT,real_DO_RT,real_SO_RT
0.62,0.56,0.62,0.37,11,991,0.63,991_11,991,11,59.05205905205906,47.22222222222222,65.0,1.0122756702086175,1.0619336630877454,0.9862086535167346,0.9752461340224845,0.9974912945730918,0.9041694159795021,1.0980616331208568,0.9983895940057211,0.9319970994376504,765.335000003688,30.0,51.666666666666664,0.17175759617404499,,0.29379762674551024,-0.22059090670656079,0.1337957660069374,0.5421103652434642,-0.3717633084570254,0.3395432139171694,0.5604046624185437,-0.04382683743356201,0.1751718638868243,-0.04339757034981169,-0.016110047269927985,0.11829836829836836,-0.015577376862933107,-0.09524297462813816,,746.3899999856949,763.414999935776,691.9924999820068,840.3849999886006,812.7350000431761,754.7799998428673
0.61,,0.59,0.44,12,991,0.56,991_12,991,12,93.51851851851852,84.72222222222223,81.66666666666667,1.0881731642826868,0.9684575378162913,1.1516190705067917,1.0824175088487442,0.9592692121963617,0.9835385581601866,1.229731536326523,0.9727592384729467,1.0134733139867775,747.9600000369828,43.333333333333336,46.666666666666664,0.09325981590325337,,0.19573244003191967,-0.27770697819787127,0.37626574304748217,0.507179836291203,-0.23039198840659264,0.34467101456101407,0.5093255603509736,0.014159040790917855,0.18116115780863395,0.04927938242480545,0.05713951307721071,0.08796296296296291,-0.5561657851395154,-0.1899563645571454,,809.6049999585375,717.4949999898672,735.6474999978673,919.7899999562652,724.3675000208896,861.3650000188501
0.7,0.63,0.64,0.65,13,991,0.35,991_13,991,13,44.44444444444445,64.88095238095238,58.333333333333336,1.1525876176805496,0.9683832186838766,1.0045714960256915,1.1128608580476795,0.9630312231951902,1.0127208272437058,1.1847061487169024,0.9568856109660746,1.005515965961539,762.3324999585748,63.333333333333336,66.66666666666667,0.1655701675708974,,0.29849673113811215,-0.18129049557393173,0.227270747877483,0.22271429487173294,-0.6433441442225524,0.43596391779786065,0.5189716638418947,-0.026227395741925574,0.1753734393250067,0.022990126151775633,-0.10369011321234586,-0.2043650793650793,-0.10466505757208436,-0.2877254436349475,,848.3700000215322,734.1499999165535,772.0299999928102,903.1400000676513,738.2300000172108,765.8174999523909
0.58,,0.57,0.49,14,991,0.51,991_14,991,14,89.58333333333333,89.1025641025641,80.0,1.1100094066026378,0.9819618886274243,1.1494104632260087,1.0765096343897722,0.8946761244560213,0.9909661540835488,1.1255391022675134,0.9591820433353434,1.2583490601676486,845.1549999881536,46.666666666666664,46.666666666666664,0.20479538831933256,,0.295647317734713,-0.4471052369029701,0.27392614516119357,0.5179585922693242,-0.45435546666807364,0.2438004561018733,0.549405379376654,-0.10955814355035977,0.15870541861169313,-0.08658954587088827,-0.10527750528310018,0.004807692307692264,-0.2754594919515965,-0.08287350501164648,,909.8175000399351,756.1399999540299,837.5199999427423,951.2549999635667,829.909999971278,971.430000034161
0.45,0.56,0.64,0.69,15,991,0.31000000000000005,991_15,991,15,47.43589743589744,70.47619047619048,75.0,1.0701831367336836,1.0683224076496125,1.0001616590860016,1.017429488577259,0.9881526986749539,0.9498757863836803,1.127549017319052,1.0298607422488766,0.9310705459803553,757.7675000065938,63.333333333333336,48.333333333333336,0.1448247855428397,,0.3152722104983935,-0.4198257450708883,0.5673525227264141,0.5728542720863674,-0.26664217950936436,0.47957611508425585,0.5767062182571807,0.03384993534850435,0.2307667398792792,0.0737633888277629,0.10646696778744574,-0.23040293040293044,-0.546298158193236,-0.08401874359825902,,770.9749999921768,748.7900000996888,719.7849999647588,854.4199999887496,809.5400000456721,757.8900000080466
0.62,,0.52,0.56,16,991,0.43999999999999995,991_16,991,16,83.33333333333333,69.65811965811966,66.66666666666667,1.0765760924161418,1.011936071130414,1.1764426966387238,1.0158304672395335,0.9564535706861752,0.9447134837226095,1.1509173325736086,1.0394054723006092,0.9229023366047595,790.8800000441261,50.0,46.666666666666664,0.29163539387463655,,0.4952939885603196,-0.21662432570944198,0.3734156367192719,0.515563102875273,-0.3514466158099718,0.34563034221407973,0.5071221568182791,-0.07814643930652414,0.262305519223359,0.07839565550491497,-0.0029081367979460204,0.13675213675213668,-0.005769294007076954,0.17391545737805103,,803.3999999752268,756.4400000264868,747.1550000482239,910.2375000366011,800.3199999802746,930.4249999695456
0.39,0.39,0.52,0.6,17,991,0.4,991_17,991,17,75.0,72.32744107744107,60.0,1.0203507767776876,0.9465112722534217,1.0553308101206642,1.0115244046417553,0.9858036003051004,0.9832422598413805,1.0383127048315068,0.9375156629645024,1.0268599011007722,768.1524999206886,58.333333333333336,40.0,0.44245212171683196,,0.7738301650211222,-0.18912785441554636,0.1732637713871345,0.09118142698064781,-0.20483717532124093,0.2254812670716575,0.3139225455351831,-0.09507885155828762,0.3453087477678316,-0.007932041514205929,0.010322045875208283,0.026725589225589347,0.41891633774983217,0.5648907375652755,,777.0050001563505,757.2475000051782,755.2799999248236,797.582499915734,727.0649999845773,810.6550000375137
0.61,,0.55,0.21,18,991,0.79,991_18,991,18,80.95238095238095,70.3030303030303,73.33333333333333,1.1091290758470567,1.066749932547956,1.0260278674430956,1.0304580767168317,0.9652291928513563,0.9042141092301351,1.2744442141368968,1.0630307826656435,1.040088295084424,808.6525000398979,51.666666666666664,43.333333333333336,0.19846829496165339,,0.3246579431099466,-0.4719968648695548,0.35487957336064113,0.5762405068139933,-0.3103688590840657,0.3105341125171151,0.5870197932540906,-0.06618762150382583,0.19650276775327136,-0.05855864575445682,8.262671652470299e-05,0.10649350649350652,-0.35131171054420396,0.022368518971173024,,833.2824999233708,780.534999910742,731.195000000298,1030.5824999231845,862.6299998722969,829.7000001184642
0.55,0.57,0.55,0.45,19,991,0.55,991_19,991,19,74.74747474747475,81.90164954870838,76.66666666666667,1.0214929143778757,1.0267827942801036,1.066876017907073,0.9927795998638699,0.9376994422040147,0.9404682145591416,1.2514343957403713,0.9897345852585019,0.9646251201466328,787.3525000177324,43.333333333333336,30.0,0.1393066072131444,,0.23796445253403764,-0.2301943749269633,0.5518446493507834,0.5771452930908745,-0.24262560071282574,0.20375618605524493,0.5586624766569597,-0.035886664195239566,0.16767945603415052,0.16082513721191005,-0.019434707328790407,-0.07154174801233623,-0.47463795528925856,0.03203597070004892,,781.667499919422,738.3000000845641,740.4799999203533,985.3200000943616,808.4400000516325,840.007499908097
0.63,,0.63,0.69,20,991,0.31000000000000005,991_20,991,20,85.71428571428572,94.44444444444444,76.66666666666667,1.0393688692672256,1.086801753411901,1.0094434293783088,1.0038244418275346,0.938521281291556,0.9516093710472205,1.2369584902625268,1.0662674427489636,0.9523056153981047,764.8174999048933,48.333333333333336,41.666666666666664,0.13071435729665648,,0.21515825081783804,-0.2460208295226502,0.5851794500022515,0.558993954927183,-0.4092232820384326,0.30229777685732534,0.5765003381286109,-0.042194456747793076,0.1536068022105245,0.16957931023980063,-0.053462752590553636,-0.0873015873015872,-0.5214684655072804,-0.2462736968726126,,767.7424999419601,717.797499964945,727.8075000504032,946.0475000087171,831.2049999367445,772.0399999525399
