gabor_sample,NoiseLevel,Variant,Diff_Energy,Diff_EnergySign
087_9.png,87,9,-70121.5163813578,-1
087_10.png,87,10,-75519.7541891353,-1
086_1.png,86,1,79898.7439232328,1
086_2.png,86,2,76360.9376166667,1
086_3.png,86,3,77826.771761068,1
086_4.png,86,4,78412.4103070862,1
086_5.png,86,5,74735.8866345886,1
086_6.png,86,6,77490.3656895511,1
086_7.png,86,7,-79801.545015058,-1
086_8.png,86,8,-76231.5226988204,-1
086_9.png,86,9,-73883.6852401565,-1
086_10.png,86,10,-79343.8823617639,-1
085_1.png,85,1,85229.1691637747,1
085_2.png,85,2,84239.0485590932,1
085_3.png,85,3,80175.8765346627,1
085_4.png,85,4,84608.8467546604,1
085_5.png,85,5,82101.7960933658,1
085_6.png,85,6,81000.9808482397,1
085_7.png,85,7,81102.3032118873,1
085_8.png,85,8,81190.5072959719,1
085_9.png,85,9,85022.0577480137,1
085_10.png,85,10,82055.7887054348,1
084_1.png,84,1,90288.8606597753,1
084_2.png,84,2,88187.4838160778,1
084_3.png,84,3,88318.5661982551,1
084_4.png,84,4,86181.2439278932,1
084_5.png,84,5,87291.0566552503,1
084_6.png,84,6,87826.9006049588,1
084_7.png,84,7,86158.7979761308,1
084_8.png,84,8,88100.215618933,1
084_9.png,84,9,86017.7401074537,1
084_10.png,84,10,88378.817218734,1
083_1.png,83,1,94876.6990574335,1
083_2.png,83,2,93221.6137899149,1
083_3.png,83,3,94852.8722400965,1
083_4.png,83,4,94913.4892811862,1
083_5.png,83,5,94080.2101454973,1
083_6.png,83,6,92846.3734860588,1
083_7.png,83,7,92601.7410483012,1
083_8.png,83,8,94407.8585700092,1
083_9.png,83,9,93054.7492188738,1
083_10.png,83,10,94364.2076624896,1
082_1.png,82,1,97453.8854944375,1
082_2.png,82,2,97793.7314160109,1
082_3.png,82,3,100443.229225669,1
082_4.png,82,4,98004.6348298793,1
082_5.png,82,5,97968.6702556015,1
082_6.png,82,6,100314.419081035,1
082_7.png,82,7,96724.6825783534,1
082_8.png,82,8,99176.5325712957,1
082_9.png,82,9,98428.7171446665,1
082_10.png,82,10,96185.0380504429,1
081_1.png,81,1,101441.839485276,1
081_2.png,81,2,102469.586478653,1
081_3.png,81,3,102317.002249904,1
081_4.png,81,4,103240.657338041,1
081_5.png,81,5,101441.441545611,1
081_6.png,81,6,105199.663842537,1
081_7.png,81,7,106193.787056299,1
081_8.png,81,8,104650.857296797,1
081_9.png,81,9,106299.587499711,1
081_10.png,81,10,105517.313079899,1
080_1.png,80,1,110440.722856351,1
080_2.png,80,2,110453.983753234,1
080_3.png,80,3,108585.028014633,1
080_4.png,80,4,108780.014895189,1
080_5.png,80,5,109755.658504982,1
080_6.png,80,6,111132.160442706,1
080_7.png,80,7,108531.273059276,1
080_8.png,80,8,111914.917969471,1
080_9.png,80,9,107500.906630631,1
080_10.png,80,10,107597.678600895,1
079_1.png,79,1,115514.631901103,1
079_2.png,79,2,114026.369962168,1
079_3.png,79,3,115124.284947026,1
079_4.png,79,4,116016.627223483,1
079_5.png,79,5,112499.197677,1
079_6.png,79,6,113662.459254406,1
079_7.png,79,7,114198.240892783,1
079_8.png,79,8,113429.892142889,1
079_9.png,79,9,112712.158952901,1
079_10.png,79,10,115127.560552518,1
078_1.png,78,1,121877.984413265,1
078_2.png,78,2,120339.998825559,1
078_3.png,78,3,118211.234935332,1
078_4.png,78,4,122141.792696101,1
078_5.png,78,5,118528.021570044,1
078_6.png,78,6,118945.32432521,1
078_7.png,78,7,122210.545691074,1
078_8.png,78,8,122303.742161141,1
078_9.png,78,9,119143.721807741,1
078_10.png,78,10,120274.932083163,1
077_1.png,77,1,127755.983147039,1
077_2.png,77,2,124405.866267628,1
077_3.png,77,3,123115.590727151,1
077_4.png,77,4,125736.67241486,1
077_5.png,77,5,125216.374456016,1
077_6.png,77,6,123231.323227268,1
077_7.png,77,7,127680.427495451,1
077_8.png,77,8,124997.627995863,1
077_9.png,77,9,125098.183014262,1
077_10.png,77,10,125116.713416557,1
076_1.png,76,1,133310.082915823,1
076_2.png,76,2,131499.061804775,1
076_3.png,76,3,131147.072460347,1
076_4.png,76,4,131423.506399664,1
076_5.png,76,5,130191.080965001,1
076_6.png,76,6,132404.720501539,1
076_7.png,76,7,131687.240679017,1
076_8.png,76,8,129722.566347417,1
076_9.png,76,9,131896.623130077,1
076_10.png,76,10,131508.196774654,1
075_1.png,75,1,135985.557006201,1
075_2.png,75,2,136143.302308058,1
