mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.65,0.68,0.38,0.46,7,1013,0.54,1013_7
1.0,1.0,1.0,0.92,7,1014,0.07999999999999996,1014_7
0.81,,0.63,0.87,8,991,0.13,991_8
0.85,,0.88,0.45,8,992,0.55,992_8
0.57,,0.54,0.56,8,993,0.43999999999999995,993_8
0.99,,1.0,0.78,8,994,0.21999999999999997,994_8
0.81,,0.71,0.8,8,995,0.19999999999999996,995_8
0.79,,0.8,0.97,8,996,0.030000000000000027,996_8
0.32,,0.62,0.0,8,997,1.0,997_8
0.63,,0.76,0.64,8,998,0.36,998_8
0.58,,0.58,0.56,8,999,0.43999999999999995,999_8
0.3,,0.56,0.52,8,1000,0.48,1000_8
0.74,,0.74,0.27,8,1001,0.73,1001_8
0.68,,0.68,0.6,8,1002,0.4,1002_8
0.68,,0.76,0.68,8,1003,0.31999999999999995,1003_8
0.35,,1.0,0.29,8,1005,0.71,1005_8
0.82,,0.96,0.57,8,1006,0.43000000000000005,1006_8
0.59,,0.63,0.6,8,1007,0.4,1007_8
0.43,,0.54,0.46,8,1008,0.54,1008_8
0.64,,0.49,0.76,8,1009,0.24,1009_8
1.0,,1.0,1.0,8,1010,0.0,1010_8
0.76,,0.92,0.82,8,1011,0.18000000000000005,1011_8
0.41,,0.68,0.76,8,1012,0.24,1012_8
0.58,,0.55,0.55,8,1013,0.44999999999999996,1013_8
1.0,,0.99,0.97,8,1014,0.030000000000000027,1014_8
0.64,0.59,0.63,0.65,9,991,0.35,991_9
0.76,0.49,0.25,0.18,9,992,0.8200000000000001,992_9
0.4,0.57,0.42,0.37,9,993,0.63,993_9
1.0,0.68,0.85,1.0,9,994,0.0,994_9
0.56,0.35,0.58,0.63,9,995,0.37,995_9
0.89,0.88,1.0,0.99,9,996,0.010000000000000009,996_9
0.0,0.0,0.24,0.0,9,997,1.0,997_9
0.62,0.67,0.74,0.27,9,998,0.73,998_9
0.59,0.67,0.53,0.53,9,999,0.47,999_9
0.61,0.8,0.76,0.67,9,1000,0.32999999999999996,1000_9
0.75,0.32,0.79,0.66,9,1001,0.33999999999999997,1001_9
0.58,0.43,0.58,0.39,9,1002,0.61,1002_9
0.64,0.71,0.58,0.39,9,1003,0.61,1003_9
0.81,1.0,0.69,0.62,9,1005,0.38,1005_9
0.67,1.0,0.76,0.66,9,1006,0.33999999999999997,1006_9
0.58,0.54,0.61,0.58,9,1007,0.42000000000000004,1007_9
0.46,0.46,0.64,0.52,9,1008,0.48,1008_9
0.26,0.0,1.0,0.55,9,1009,0.44999999999999996,1009_9
1.0,1.0,1.0,0.93,9,1010,0.06999999999999995,1010_9
0.26,0.49,0.56,0.33,9,1011,0.6699999999999999,1011_9
0.58,0.6,0.58,0.57,9,1012,0.43000000000000005,1012_9
0.47,0.25,0.56,0.56,9,1013,0.43999999999999995,1013_9
1.0,1.0,1.0,0.87,9,1014,0.13,1014_9
0.31,,0.61,0.26,10,991,0.74,991_10
0.81,,0.37,0.16,10,992,0.84,992_10
0.54,,0.57,0.38,10,993,0.62,993_10
1.0,,0.99,0.72,10,994,0.28,994_10
0.52,,0.53,0.59,10,995,0.41000000000000003,995_10
0.76,,0.85,0.68,10,996,0.31999999999999995,996_10
0.0,,0.31,0.0,10,997,1.0,997_10
0.63,,0.68,0.32,10,998,0.6799999999999999,998_10
0.1,,0.0,0.0,10,999,1.0,999_10
0.69,,0.94,0.61,10,1000,0.39,1000_10
0.73,,0.74,0.75,10,1001,0.25,1001_10
0.65,,0.64,0.45,10,1002,0.55,1002_10
